2026-06-30 14:11:33 | buyer=Alice | qty=5 | student_id=p20240058 | stock_after=95
2026-06-30 14:12:00 | buyer=buyer5 | qty=1 | student_id=p20240058 | stock_after=98
2026-06-30 14:12:00 | buyer=buyer1 | qty=1 | student_id=p20240058 | stock_after=99
2026-06-30 14:12:00 | buyer=buyer4 | qty=1 | student_id=p20240058 | stock_after=98
2026-06-30 14:12:00 | buyer=buyer8 | qty=1 | student_id=p20240058 | stock_after=97
2026-06-30 14:12:00 | buyer=buyer3 | qty=1 | student_id=p20240058 | stock_after=97
2026-06-30 14:12:00 | buyer=buyer7 | qty=1 | student_id=p20240058 | stock_after=96
2026-06-30 14:12:00 | buyer=buyer11 | qty=1 | student_id=p20240058 | stock_after=95
2026-06-30 14:12:00 | buyer=buyer2 | qty=1 | student_id=p20240058 | stock_after=96
2026-06-30 14:12:00 | buyer=buyer19 | qty=1 | student_id=p20240058 | stock_after=93
2026-06-30 14:12:00 | buyer=buyer6 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer9 | qty=1 | student_id=p20240058 | stock_after=94
2026-06-30 14:12:00 | buyer=buyer10 | qty=1 | student_id=p20240058 | stock_after=95
2026-06-30 14:12:00 | buyer=buyer16 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer21 | qty=1 | student_id=p20240058 | stock_after=94
2026-06-30 14:12:00 | buyer=buyer15 | qty=1 | student_id=p20240058 | stock_after=-1
2026-06-30 14:12:00 | buyer=buyer13 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer14 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer23 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer30 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer32 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer12 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer27 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer20 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer28 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer33 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer22 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer25 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer31 | qty=1 | student_id=p20240058 | stock_after=87
2026-06-30 14:12:00 | buyer=buyer17 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer29 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer34 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer24 | qty=1 | student_id=p20240058 | stock_after=-1
2026-06-30 14:12:00 | buyer=buyer35 | qty=1 | student_id=p20240058 | stock_after=87
2026-06-30 14:12:00 | buyer=buyer3 | qty=1 | student_id=p20240058 | stock_after=99
2026-06-30 14:12:00 | buyer=buyer4 | qty=1 | student_id=p20240058 | stock_after=99
2026-06-30 14:12:00 | buyer=buyer2 | qty=1 | student_id=p20240058 | stock_after=-1
2026-06-30 14:12:00 | buyer=buyer1 | qty=1 | student_id=p20240058 | stock_after=99
2026-06-30 14:12:00 | buyer=buyer5 | qty=1 | student_id=p20240058 | stock_after=99
2026-06-30 14:12:00 | buyer=buyer4 | qty=1 | student_id=p20240058 | stock_after=98
2026-06-30 14:12:00 | buyer=buyer3 | qty=1 | student_id=p20240058 | stock_after=99
2026-06-30 14:12:00 | buyer=buyer7 | qty=1 | student_id=p20240058 | stock_after=-1
2026-06-30 14:12:00 | buyer=buyer12 | qty=1 | student_id=p20240058 | stock_after=97
2026-06-30 14:12:00 | buyer=buyer6 | qty=1 | student_id=p20240058 | stock_after=98
2026-06-30 14:12:00 | buyer=buyer11 | qty=1 | student_id=p20240058 | stock_after=96
2026-06-30 14:12:00 | buyer=buyer17 | qty=1 | student_id=p20240058 | stock_after=95
2026-06-30 14:12:00 | buyer=buyer23 | qty=1 | student_id=p20240058 | stock_after=94
2026-06-30 14:12:00 | buyer=buyer8 | qty=1 | student_id=p20240058 | stock_after=95
2026-06-30 14:12:00 | buyer=buyer30 | qty=1 | student_id=p20240058 | stock_after=93
2026-06-30 14:12:00 | buyer=buyer9 | qty=1 | student_id=p20240058 | stock_after=93
2026-06-30 14:12:00 | buyer=buyer20 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer18 | qty=1 | student_id=p20240058 | stock_after=93
2026-06-30 14:12:00 | buyer=buyer21 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer29 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer14 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer28 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer40 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer44 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer46 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer15 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer19 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer22 | qty=1 | student_id=p20240058 | stock_after=93
2026-06-30 14:12:00 | buyer=buyer26 | qty=1 | student_id=p20240058 | stock_after=91
2026-06-30 14:12:00 | buyer=buyer32 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer27 | qty=1 | student_id=p20240058 | stock_after=92
2026-06-30 14:12:00 | buyer=buyer24 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer39 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer33 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer37 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer43 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer25 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer35 | qty=1 | student_id=p20240058 | stock_after=-1
2026-06-30 14:12:00 | buyer=buyer34 | qty=1 | student_id=p20240058 | stock_after=90
2026-06-30 14:12:00 | buyer=buyer36 | qty=1 | student_id=p20240058 | stock_after=89
2026-06-30 14:12:00 | buyer=buyer42 | qty=1 | student_id=p20240058 | stock_after=-1
2026-06-30 14:12:00 | buyer=buyer45 | qty=1 | student_id=p20240058 | stock_after=88
2026-06-30 14:12:00 | buyer=buyer41 | qty=1 | student_id=p20240058 | stock_after=87
2026-06-30 14:12:00 | buyer=buyer50 | qty=1 | student_id=p20240058 | stock_after=86
2026-06-30 14:12:00 | buyer=buyer38 | qty=1 | student_id=p20240058 | stock_after=86
2026-06-30 14:12:00 | buyer=buyer48 | qty=1 | student_id=p20240058 | stock_after=86
2026-06-30 14:12:00 | buyer=buyer47 | qty=1 | student_id=p20240058 | stock_after=87
2026-06-30 14:12:00 | buyer=buyer49 | qty=1 | student_id=p20240058 | stock_after=86
2026-06-30 14:12:45 | buyer=buyer1 | qty=1 | student_id=p20240058 | stock_after=99
